i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	inf	inf	no
27	1.0	50.0	0.25	inf	inf	no
28	1.0	50.0	0.3	inf	inf	no
32	1.0	87.0	0.1	inf	inf	no
33	1.0	87.0	0.15	inf	inf	no
34	1.0	87.0	0.2	inf	inf	no
35	1.0	87.0	0.25	0.3455521135742997	0.05357895036907035	yes
36	1.0	87.0	0.3	0.3325708686475517	0.10315199198206312	yes
40	1.0	149.0	0.1	inf	inf	no
41	1.0	149.0	0.15	0.3639868494679999	0.18887441197778998	no
42	1.0	149.0	0.2	0.36139639265500006	0.3135427337947106	no
43	1.0	149.0	0.25	0.359392392222	0.42126173647413295	no
44	1.0	149.0	0.3	0.357748934706	0.5218860065331012	no
45	1.0	149.0	0.35	0.356441895959	0.6182424896844273	no
48	1.0	257.0	0.1	0.402250661367	0.32051437940563476	no
49	1.0	257.0	0.15	0.3976703707759999	0.5351477831995032	no
50	1.0	257.0	0.2	0.39447729163800005	0.7419215427750634	no
51	1.0	257.0	0.25	0.39213669365000003	0.9432369832180453	no
52	1.0	257.0	0.3	0.390245987314	1.1390565312847571	no
53	1.0	257.0	0.35	0.388621588644	1.3293603139978856	no
56	1.0	442.0	0.1	0.44357382963	0.7393326765322314	no
57	1.0	442.0	0.15	0.438103569035	1.172802924302587	no
58	1.0	442.0	0.2	0.434314864228	1.6014938570302286	no
59	1.0	442.0	0.25	0.431382337835	2.0209962860315094	no
60	1.0	442.0	0.3	0.428995319043	2.430057552445108	no
61	1.0	442.0	0.35	0.427149775887	2.8309867520778527	no
62	1.0	442.0	0.4	0.425654856178	3.1723510742701064	no
114	1.3	84.0	0.2	inf	inf	no
115	1.3	84.0	0.25	inf	inf	no
116	1.3	84.0	0.3	inf	inf	no
120	1.3	143.0	0.1	inf	inf	no
121	1.3	143.0	0.15	inf	inf	no
122	1.3	143.0	0.2	inf	inf	no
123	1.3	143.0	0.25	inf	inf	no
124	1.3	143.0	0.3	0.3841022700652615	0.07248384478960844	yes
125	1.3	143.0	0.35	0.3697395748069999	0.12973287966566563	no
128	1.3	244.0	0.1	inf	inf	no
129	1.3	244.0	0.15	0.413785582052	0.1372243322618623	no
130	1.3	244.0	0.2	0.410266382704	0.27732542244489117	no
131	1.3	244.0	0.25	0.40767183709699994	0.38641669963497555	no
132	1.3	244.0	0.3	0.405600272477	0.48661344189367595	no
133	1.3	244.0	0.35	0.403765665001	0.5814763920161702	no
136	1.3	417.0	0.1	0.463727168834	0.28533688788236405	no
137	1.3	417.0	0.15	0.457776938891	0.4942189835398105	no
138	1.3	417.0	0.2	0.45343466946	0.6939482045980356	no
139	1.3	417.0	0.25	0.450215382615	0.888773606880253	no
140	1.3	417.0	0.3	0.44753350261499997	1.0784736580186274	no
141	1.3	417.0	0.35	0.445374363078	1.2640850844755849	no
142	1.3	417.0	0.4	0.443561528644	1.0019297641438605	no
289	2.0	232.0	0.15	inf	inf	no
290	2.0	232.0	0.2	inf	inf	no
291	2.0	232.0	0.25	inf	inf	no
292	2.0	232.0	0.3	inf	inf	no
293	2.0	232.0	0.35	inf	inf	no
294	2.0	232.0	0.4	inf	inf	no
367	2.3	137.0	0.45	inf	inf	no
764	4.0	421.0	0.35	inf	inf	no
765	4.0	421.0	0.4	inf	inf	no
766	4.0	421.0	0.5	inf	inf	no
767	4.0	421.0	0.55	inf	inf	no
768	4.0	421.0	0.6	inf	inf	no
769	4.0	421.0	0.7	inf	inf	no
868	5.0	459.0	0.75	inf	inf	no
869	5.0	459.0	0.8	inf	inf	no
872	5.0	793.0	0.25	inf	inf	no
873	5.0	793.0	0.3	inf	inf	no
874	5.0	793.0	0.4	inf	inf	no
875	5.0	793.0	0.5	inf	inf	no
876	5.0	793.0	0.55	inf	inf	no
877	5.0	793.0	0.65	inf	inf	no
878	5.0	793.0	0.75	inf	inf	no
879	5.0	793.0	0.8	inf	inf	no
974	6.0	888.0	0.45	inf	inf	no
975	6.0	888.0	0.5	inf	inf	no
976	6.0	888.0	0.6	inf	inf	no
977	6.0	888.0	0.7	inf	inf	no
978	6.0	888.0	0.8	inf	inf	no
979	6.0	888.0	0.85	inf	inf	no
1075	7.0	1009.0	0.55	inf	inf	no
1077	7.0	1009.0	0.75	inf	inf	no
1078	7.0	1009.0	0.8	inf	inf	no
1079	7.0	1009.0	0.9	inf	inf	no
1179	8.0	1157.0	0.95	inf	inf	no
1389	10.0	2919.0	1.15	inf	inf	no
